ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,ÃÑ°è
ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,³íº­Àç¹è³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼Âø±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÃÑ°è
µ¿ºÎ,³íº­,1796,400,420,250,262,89,92,224,249,182,187,6,6,1216
À¾ºÎ,³íº­,534,197,203,127,146,51,52,151,168,93,94,1,1,664
¸éºÎ,³íº­,3854,2412,2534,1779,1990,713,726,1825,2108,1322,1354,37,38,8750
Áß±¸,³íº­,163,63,65,50,51,25,25,52,55,44,44,-,-,240
µ¿±¸,³íº­,9,2,2,-,-,-,-,1,1,-,-,-,-,3
¿¬¼ö±¸,³íº­,239,28,28,14,14,2,2,8,9,3,3,-,-,56
³²µ¿±¸,³íº­,225,40,43,21,21,8,8,23,25,20,20,2,2,119
ºÎÆò±¸,³íº­,317,33,36,23,27,8,10,16,21,20,23,1,1,118
°è¾ç±¸,³íº­,365,106,112,79,83,26,27,74,78,51,52,1,1,353
¼­±¸,³íº­,400,116,121,57,60,19,19,46,56,40,41,2,2,299
¹ÌÃßÈ¦±¸,³íº­,78,12,13,6,6,1,1,4,4,4,4,-,-,28
°­È­±º,³íº­,4107,2417,2531,1722,1937,638,650,1778,2035,1260,1290,28,29,8472
¿ËÁø±º,³íº­,281,192,206,184,199,126,128,198,241,155,158,10,10,942
µ¿±¸,³íº­,346,26,28,11,11,3,3,15,15,7,7,1,1,65
¼­±¸,³íº­,1466,170,178,91,103,42,44,71,87,53,55,1,1,468
³²±¸,³íº­,1209,191,200,106,120,43,44,63,66,53,53,8,8,491
ºÏ±¸,³íº­,2287,321,348,131,144,74,74,149,171,96,99,12,12,848
±¤»ê±¸,³íº­,2651,716,768,395,444,178,179,318,349,218,220,13,14,1974
µ¿±¸,³íº­,285,82,88,25,26,16,16,40,42,35,35,-,-,207
Áß±¸,³íº­,476,64,70,37,39,19,19,33,34,31,31,-,-,193
¼­±¸,³íº­,1363,193,197,94,95,35,35,67,67,75,75,-,-,469
À¯¼º±¸,³íº­,1069,222,234,93,99,43,43,134,140,102,107,6,7,630
´ë´ö±¸,³íº­,436,72,73,25,25,12,12,41,42,23,23,2,2,177
µ¿ºÎ,³íº­,2663,779,846,238,243,126,128,204,206,315,321,8,8,1752
À¾ºÎ,³íº­,1531,744,801,360,368,180,182,241,247,381,385,17,17,2000
¸éºÎ,³íº­,1589,967,1034,574,583,320,325,321,329,557,559,12,12,2842
Áß±¸,³íº­,676,160,171,42,42,26,26,37,38,57,57,1,1,335
³²±¸,³íº­,945,209,222,57,57,36,36,50,50,63,64,3,3,432
µ¿±¸,³íº­,104,22,24,3,3,3,3,2,2,4,4,-,-,36
ºÏ±¸,³íº­,938,388,429,136,141,61,63,115,116,191,196,4,4,949
¿ïÁÖ±º,³íº­,3120,1711,1835,934,951,500,507,562,576,938,944,29,29,4842
µ¿ºÎ,³íº­,497,56,58,31,31,9,10,24,24,24,24,2,2,149
À¾ºÎ,³íº­,386,35,35,24,27,8,8,18,18,12,12,2,2,102
¸éºÎ,³íº­,2267,828,845,521,562,235,239,724,776,446,453,15,16,2891
¼¼Á¾Æ¯º°ÀÚÄ¡½Ã,³íº­,3150,919,938,576,620,252,257,766,818,482,489,19,20,3142
µ¿ºÎ,³íº­,17843,3559,3763,2842,3062,993,1010,2249,2456,1894,1921,78,82,12294
À¾ºÎ,³íº­,11560,4751,4927,4051,4392,1371,1391,3194,3443,2709,2744,91,93,16990
¸éºÎ,³íº­,22450,10986,11376,9730,10317,2947,2975,9050,9576,6235,6299,161,165,40708
