"행정구역별",1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009
"행정구역별",농가 (가구),상대표준오차,농가인구 (명),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명)
"광주시부",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5684,-,18926,9254,9672,-,-,-,-,-,-,5020,9.3,15329,9.3,7334,7995,4871,8.8,16012,9.2,7399,8613,4746,8.8,14801,9.6,6866,7935,7938,-,24492,12075,12417,7608,6.8,23027,8.1,11025,12002,7571,8.2,23726,8.6,12050,11676,6754,6.1,21211,4.9,10148,11063,6862,7.1,21052,6.7,9775,11276
"광산구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6276,-,18822,9167,9655,-,-,-,-,-,-,5592,5.3,15307,5.5,7327,7980,5267,5.2,14475,5.6,6905,7570,5005,6.3,13902,7.1,6623,7279,6112,-,17279,8430,8849,5305,4.5,16230,5.0,7827,8403,5227,6.2,16223,7.2,7934,8290,4892,8.6,14826,10.4,7236,7590,4975,8.1,14691,9.4,7286,7405
"대전광역시",7422,-,29225,14888,14337,7058,-,28214,13804,14409,6817,-,26719,-,12980,13738,6710,-,25220,-,11989,13231,7075,-,25141,12736,12405,6691,-,23274,-,11552,11722,6429,7.6,21414,7.3,11325,10090,5965,9.6,19909,10.4,10134,9776,5894,10.1,19115,11.0,9451,9664,8657,-,28095,14278,13817,8045,6.1,25122,6.0,12626,12496,7801,9.7,22326,9.4,11132,11194,7975,10.5,23709,12.6,11834,11875,7960,10.3,24605,11.8,12629,11976
"대전시부",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6429,-,21414,-,11325,10090,5965,9.6,19909,10.4,10134,9776,5894,10.1,19115,11.0,9451,9664,8657,-,28095,14278,13817,8045,6.1,25122,6.0,12626,12496,7801,9.7,22326,9.4,11132,11194,7975,10.5,23709,12.6,11834,11875,7960,10.3,24605,11.8,12629,11976
"울산광역시",0,-,0,0,0,11232,-,37632,18478,19153,11260,-,38554,-,18604,19950,11314,-,37952,-,18225,19727,12307,-,38021,18706,19315,11826,-,37683,-,17938,19745,11504,5.2,33996,6.0,17047,16949,11429,5.1,33701,6.0,16896,16805,11172,5.2,32582,6.5,16170,16412,11980,-,34597,17055,17542,13168,4.6,39247,5.6,19367,19880,13196,4.6,39173,6.0,19246,19927,13320,5.5,38185,6.6,18890,19294,13004,5.8,37632,7.3,18714,18917
"울산시부",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3558,-,11885,5920,5965,-,-,-,-,-,-,3066,12.5,9611,15.1,4969,4642,2981,12.3,9561,15.6,4878,4683,2998,12.1,9784,17.1,4927,4857,3883,-,12076,6063,6013,4259,10.2,14403,12.9,6930,7473,4441,9.6,15298,13.0,7493,7805,4299,13.2,13225,15.1,6500,6725,3989,14.4,12544,17.7,6360,6184
"울주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8749,-,26136,12786,13350,-,-,-,-,-,-,8438,5.4,24385,6.0,12078,12307,8449,5.3,24140,5.8,12018,12122,8175,5.6,22798,5.8,11243,11555,8097,-,22521,10992,11529,8909,4.7,24844,4.6,12437,12407,8755,4.9,23876,5.3,11753,12123,9021,5.2,24960,6.1,12390,12569,9015,5.5,25088,6.5,12355,12733
"수원시",1986,-,8600,4380,4220,2232,-,9011,4834,4176,2032,7.3,8685,9.9,4344,4341,2075,8.8,8309,11.0,4207,4102,1585,-,6222,3132,3090,1629,11.8,6539,12.9,3348,3190,1531,8.7,5589,10.2,2894,2695,1542,8.6,5719,11.2,2893,2827,1513,10.9,5718,12.9,2853,2865,3154,-,11233,5613,5620,2588,9.6,8762,9.7,4175,4587,2242,12.8,7912,14.3,3628,4284,2118,13.1,7771,15.4,3585,4185,2079,13.6,7559,15.6,3476,4083
"성남시",1202,-,5022,2587,2435,1268,-,5420,2858,2562,1479,8.1,6397,10.1,3396,3001,1511,4.8,5873,5.8,2882,2991,1305,-,4659,2439,2220,1529,5.0,6171,4.7,3246,2924,1204,6.4,4429,6.3,2251,2179,1227,5.7,4774,7.3,2426,2348,1240,6.9,4889,11.6,2479,2410,1006,-,3613,1859,1754,970,5.4,3229,6.9,1681,1549,1048,6.7,3635,10.1,1873,1761,1008,9.4,3476,12.2,1779,1697,1039,9.9,3512,11.9,1816,1696
"의정부시",981,-,4000,2010,1991,729,-,2868,1404,1464,667,5.7,2555,7.6,1255,1301,653,7.9,2315,6.4,1206,1109,1054,-,4031,2074,1957,647,5.8,2312,6.0,1213,1099,840,13.6,3294,12.2,1623,1670,836,19.6,3346,15.2,1731,1615,824,21.5,3122,18.0,1597,1526,1039,-,3626,1851,1775,963,10.6,3482,12.9,1734,1748,1049,15.2,3834,19.3,1879,1955,1118,16.3,3976,19.9,1958,2017,1071,17.3,3887,20.5,1928,1959
