"행정구역별",2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
"행정구역별",농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명),농가 (가구),농가인구 (명),농가인구(남) (명),농가인구(여) (명),농가 (가구),상대표준오차,농가인구 (명),상대표준오차(농가인구),농가인구(남) (명),농가인구(여) (명)
"달성군",6164,,17263,,8591,8672,6344,6.4,17893,10.7,9062,8830,6520,7.5,18039,11.2,8992,9047,6669,7.4,18210,8.1,9042,9169,6566,9.1,18222,9.1,9269,8953,5781,-,15027,-,7498,7529,5733,3.9,14458,6.4,7082,7376,5763,4.2,14020,6.7,6836,7183,5408,5.3,13088,6.1,6437,6650,5497,5.3,13255,6.1,6577,6678,5946,14228,7182,7046,6281,3.7,14593,4.0,7590,7003
"인천광역시",13835,,37750,,18589,19161,13777,6.4,36196,18.7,17808,18388,13567,6.7,34760,6.1,16949,17811,12983,7.3,32368,7.2,15959,16409,12928,7.3,32089,7.4,15839,16251,13081,-,32454,-,15992,16462,12347,2.4,31226,3.8,15031,16194,11962,2.5,29991,3.5,14532,15459,11440,2.7,27642,3.6,13431,14211,11321,3.9,27096,4.4,13412,13684,13239,31828,15819,16009,12647,3.1,28128,3.5,13848,14280
"인천시부",4425,,13990,,6978,7012,4406,8.9,12766,15.5,6199,6567,4210,12.0,11557,9.5,5433,6124,3428,15.6,8935,13.6,4171,4764,3339,14.7,9112,13.6,4263,4849,4226,-,12000,-,5996,6004,4061,4.9,11610,6.2,5726,5884,3901,4.6,11037,5.5,5603,5434,3651,5.5,9958,5.6,4907,5051,3488,6.5,9216,7.5,4560,4657,5691,14942,7449,7493,4777,4.2,11823,4.5,5714,6109
"강화군",7975,,20255,,9889,10366,7963,9.8,20331,24.2,10081,10249,7975,9.3,20124,8.7,9979,10145,8156,9.5,20277,9.8,10195,10083,8161,9.8,19851,10.0,10009,9841,7539,-,17496,-,8558,8938,6934,3.1,16668,5.4,7915,8753,6759,3.4,16114,5.2,7619,8495,6542,3.4,14931,5.2,7242,7690,6573,5.7,15107,6.1,7593,7514,6415,14509,7213,7296,6616,4.7,13525,5.6,6775,6750
"옹진군",1435,,3505,,1722,1783,1408,10.3,3099,17.8,1528,1572,1383,9.4,3079,12.8,1537,1541,1398,9.6,3156,9.2,1594,1562,1427,8.5,3127,7.7,1567,1560,1316,-,2958,-,1438,1520,1352,5.2,2948,8.3,1390,1558,1302,4.8,2840,7.1,1310,1531,1247,5.5,2753,8.1,1283,1471,1260,5.7,2773,8.3,1260,1514,1133,2377,1157,1220,1254,10.9,2780,10.8,1359,1421
"광주광역시",13079,,37994,,18756,19238,12481,4.0,35232,8.5,16772,18460,11852,4.4,32903,6.8,15530,17373,11816,5.9,32231,6.5,15387,16843,11869,6.2,32062,6.5,15467,16595,12036,-,30746,-,15173,15573,12126,3.9,29800,4.8,14561,15240,10940,4.3,26761,5.0,13080,13681,10380,4.5,25347,5.7,12184,13164,10238,5.5,24101,6.8,11729,12372,16676,39873,19931,19942,14708,3.7,35403,3.9,17558,17845
"광주시부",7497,,22747,,11269,11478,7122,6.4,21333,14.9,9972,11361,6706,6.8,19860,10.1,9201,10659,6694,8.9,18833,10.1,8736,10097,6707,9.3,18953,9.8,9003,9951,7149,-,18786,-,9310,9476,7620,5.2,19891,5.9,9758,10133,7006,5.2,17925,5.0,8992,8933,6509,4.9,16109,5.2,7717,8392,6423,6.3,15381,6.9,7607,7774,11493,27823,13858,13965,10117,4.3,24057,4.5,11866,12191
"광산구",5582,,15247,,7487,7760,5360,3.9,13899,9.3,6800,7099,5146,5.0,13044,6.0,6330,6714,5122,6.9,13398,6.3,6651,6746,5162,7.5,13109,7.0,6464,6645,4887,-,11960,-,5863,6097,4507,5.4,9909,8.3,4803,5107,3934,7.6,8836,11.0,4088,4748,3871,8.7,9239,12.6,4467,4772,3816,10.3,8721,14.5,4123,4598,5183,12050,6073,5977,4590,7.1,11346,7.3,5692,5654
"대전광역시",8914,,27605,,13959,13646,9130,5.2,29332,9.6,14555,14777,9264,5.8,28760,11.1,14098,14662,9518,8.9,28816,11.1,14259,14557,9357,9.2,27590,10.9,13531,14058,9428,-,25569,-,12942,12627,9398,4.6,24525,4.9,12472,12052,9127,5.4,23272,5.8,12148,11124,8852,5.7,21985,5.5,10997,10989,8920,5.5,20697,5.8,10731,9966,13491,32804,16770,16034,12241,3.0,29025,4.3,14843,14183
"대전시부",8914,,27605,,13959,13646,9130,5.2,29332,9.6,14555,14777,9264,5.8,28760,11.1,14098,14662,9518,8.9,28816,11.1,14259,14557,9357,9.2,27590,10.9,13531,14058,9428,-,25569,-,12942,12627,9398,4.6,24525,4.9,12472,12052,9127,5.4,23272,5.8,12148,11124,8852,5.7,21985,5.5,10997,10989,8920,5.5,20697,5.8,10731,9966,13491,32804,16770,16034,12241,3.0,29025,4.3,14843,14183
"울산광역시",12124,,34078,,16886,17192,11772,3.6,33154,7.1,16502,16651,11769,4.1,32523,7.5,16155,16367,11997,4.5,32114,5.2,15878,16236,11559,5.1,29687,5.8,14495,15192,12385,-,31228,-,15514,15714,12451,2.5,31278,4.5,15407,15871,12070,2.9,30577,4.5,14753,15824,11772,3.1,28859,4.5,14098,14761,11478,3.2,27208,4.9,13100,14108,15284,36806,18468,18338,13408,2.5,30584,3.4,15029,15556
"울산시부",4381,,13187,,6627,6560,4101,6.8,12280,9.8,6252,6028,4231,7.7,12242,14.6,6225,6017,4591,8.6,12958,8.5,6576,6382,4397,9.5,12168,9.4,6099,6069,5082,-,13927,-,7003,6924,4901,4.2,13136,6.0,6722,6414,4942,4.1,13397,6.3,6796,6600,4820,4.2,12350,5.9,6357,5993,4648,5.3,11415,6.3,5568,5847,8563,21218,10729,10489,6988,4.2,16749,5.4,8407,8342
"울주군",7743,,20891,,10259,10632,7672,4.2,20873,8.6,10250,10623,7538,4.7,20281,8.0,9931,10350,7406,5.0,19156,6.5,9301,9855,7162,5.9,17519,7.4,8396,9123,7303,-,17301,-,8511,8790,7550,3.0,18142,6.5,8685,9457,7128,4.0,17181,6.3,7957,9224,6952,4.3,16509,6.5,7741,8768,6830,4.0,15793,7.2,7531,8261,6721,15588,7739,7849,6421,2.6,13836,3.9,6622,7214
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6072,5.3,15312,7.0,7571,7741,6571,-,16335,-,8175,8160,6304,2.5,14982,4.4,7411,7571,5918,3.0,14821,4.4,7465,7356,5789,3.5,14268,4.6,7145,7123,5878,4.4,13587,5.4,6909,6678,7163,17063,8496,8567,6573,3.7,15348,4.0,8036,7312
"경기도",135332,,412138,,206748,205390,137548,1.2,412351,2.6,206274,206076,137049,1.3,407109,1.9,203465,203644,133012,1.4,390378,1.5,193791,196587,129904,1.4,374872,1.6,186278,188594,126679,-,350200,-,175816,174384,120317,0.9,324562,1.2,163347,161215,117225,1.0,316573,1.3,159008,157565,113288,1.1,296350,1.4,148245,148105,109470,1.2,282343,1.5,141113,141231,120979,308677,156006,152671,114901,1.0,280300,1.1,140849,139451
"수원시",3004,,10098,,5079,5019,3024,7.2,9961,29.7,4878,5083,2877,7.0,9587,12.9,4807,4780,2823,7.2,9317,9.3,4531,4786,2732,7.4,8849,9.6,4333,4515,3357,-,10314,-,5228,5086,2939,5.0,9428,5.6,4652,4776,2825,5.0,9036,5.8,4550,4487,2702,5.4,8412,5.3,4186,4227,2688,7.3,8213,7.9,4007,4206,5427,15141,7653,7488,4833,6.4,11878,6.6,6120,5758
"성남시",973,,3139,,1644,1495,1062,16.3,3608,21.5,1758,1850,1023,20.2,3512,31.9,1773,1739,1039,18.6,3482,22.9,1729,1753,1005,20.8,3386,24.3,1677,1709,1092,-,3229,-,1675,1554,962,7.8,2769,9.6,1407,1361,1057,11.6,2924,14.3,1500,1425,924,13.6,2581,17.2,1329,1252,814,14.6,2293,17.9,1163,1130,1508,4105,2086,2019,1250,5.0,2740,5.2,1405,1334
"의정부시",1074,,3589,,1794,1795,1150,7.3,3600,23.0,1759,1840,1107,8.4,3468,13.0,1680,1788,1029,8.1,3181,10.2,1500,1681,958,9.9,2944,12.2,1426,1517,1265,-,3871,-,1919,1952,1138,4.2,3405,5.5,1680,1725,1106,4.1,3341,5.9,1663,1678,1035,4.5,3052,6.9,1536,1516,1002,5.0,2936,7.7,1490,1446,1459,4003,1963,2040,1246,5.8,3365,5.9,1532,1833
"안양시",525,,1761,,891,870,551,12.8,2091,27.1,1072,1019,508,17.0,1820,15.8,903,917,479,13.9,1666,15.1,803,863,438,7.5,1596,5.5,788,809,654,-,2037,-,1016,1021,577,5.7,1780,9.5,954,826,551,6.9,1722,11.5,950,772,542,6.7,1642,11.2,923,719,533,6.3,1724,11.7,964,760,1390,3851,1938,1913,1069,6.0,2702,7.5,1345,1358
"부천시",870,,2968,,1495,1473,824,7.1,2898,38.3,1444,1453,780,13.2,2652,15.2,1316,1337,750,16.0,2508,15.0,1239,1269,695,19.3,2263,18.4,1129,1134,997,-,3057,-,1562,1495,935,5.3,2783,8.3,1356,1427,928,5.3,2734,8.2,1300,1434,886,5.7,2479,8.7,1101,1378,889,10.3,2383,11.3,1127,1256,1474,4095,2086,2009,1291,6.0,3434,6.7,1556,1878
"광명시",668,,2166,,1084,1082,654,6.5,2086,15.6,1064,1022,653,7.7,2116,8.4,1072,1044,607,8.4,1946,8.9,995,951,593,9.1,1877,10.3,956,922,731,-,2183,-,1101,1082,655,6.1,1889,7.4,924,965,627,8.4,1925,8.9,935,990,591,10.5,1730,9.9,841,889,578,9.2,1647,8.8,809,839,842,2264,1151,1113,778,4.6,2050,6.2,1013,1037
"평택시",11106,,33967,,17027,16940,11238,4.3,33561,9.1,17109,16452,11123,4.1,32394,6.1,16271,16123,10506,4.5,30478,5.3,15110,15369,10291,4.9,29054,5.7,14423,14631,10013,-,27174,-,13627,13547,9119,3.7,23392,4.6,11794,11598,8891,3.8,22192,4.4,11178,11015,8719,4.0,21037,4.1,10467,10570,8437,5.0,20153,5.3,10169,9984,9054,22752,11471,11281,8174,4.7,19198,4.5,9459,9739
"동두천시",766,,2366,,1167,1199,780,11.4,2316,17.5,1090,1226,712,10.6,2165,14.8,1001,1163,703,10.4,2044,11.8,976,1068,726,7.7,2073,10.3,1009,1063,789,-,2251,-,1126,1125,736,5.1,2087,10.8,1075,1012,719,4.0,2022,9.9,1019,1002,673,6.1,1866,11.1,962,904,673,6.1,1866,11.1,962,904,837,2167,1101,1066,744,7.0,1841,7.3,955,886
"안산시",2076,,6285,,3166,3119,2076,3.8,6030,9.2,3074,2956,2027,8.7,5947,21.1,2925,3022,1971,9.5,5606,12.9,2690,2917,1962,9.5,5651,13.1,2735,2917,1987,-,5533,-,2773,2760,1943,4.6,5283,6.0,2794,2488,1886,4.3,5097,6.3,2708,2389,1804,4.4,4721,5.1,2549,2172,1759,5.2,4449,6.6,2373,2076,2009,5127,2578,2549,1894,4.2,4663,6.1,2447,2215
"고양시",6164,,20204,,10143,10061,6357,5.0,20877,11.1,10509,10368,6723,5.5,22275,9.0,11024,11251,6478,6.5,21077,7.8,10289,10788,5853,6.8,18758,8.7,9143,9614,6265,-,19103,-,9543,9560,5692,5.0,16838,5.6,8222,8617,5528,5.2,16417,5.9,7891,8526,5166,6.9,15476,7.5,7444,8032,5179,7.4,15442,8.1,7588,7854,5950,16666,8346,8320,5594,3.6,15236,5.4,7887,7349
"과천시",545,,1663,,828,835,504,10.8,1718,16.3,862,856,510,12.1,1709,19.2,875,833,534,10.9,1752,14.3,905,847,527,11.6,1839,17.4,921,918,506,-,1501,-,737,764,369,6.4,1079,7.2,539,541,378,7.3,1136,6.3,562,574,352,8.8,1081,12.2,549,532,333,9.1,919,16.8,461,458,357,989,488,501,246,12.5,560,14.0,271,289
"구리시",566,,1861,,936,925,586,8.5,1894,17.0,981,913,504,14.1,1583,17.6,839,745,536,11.5,1780,8.1,955,824,519,10.0,1849,6.5,990,859,494,-,1484,-,749,735,562,6.6,1734,9.6,856,878,528,5.9,1615,8.7,772,843,508,7.8,1371,9.8,682,689,484,7.9,1274,12.4,629,645,656,1806,909,897,538,7.3,1400,9.3,703,697
"남양주시",5695,,18941,,9578,9363,5636,6.5,17905,13.8,8989,8916,5916,8.2,18771,11.7,9500,9271,5630,9.3,17681,9.6,8882,8799,5680,9.0,17930,8.8,8910,9020,5183,-,15393,-,7758,7635,5099,7.3,15850,7.2,7922,7929,4926,7.5,15481,7.7,7695,7786,4741,8.0,13191,9.5,6442,6749,4289,10.3,11769,10.6,5660,6109,4930,13304,6700,6604,4214,4.3,10159,3.9,5180,4979
"오산시",1156,,3795,,1902,1893,1216,12.1,4001,17.4,2098,1903,1244,11.6,4022,5.4,2138,1884,1244,8.8,3844,6.3,1954,1890,1203,10.3,3551,7.8,1748,1803,1183,-,3672,-,1804,1868,1173,4.2,3828,5.6,1888,1940,1160,7.1,3686,8.4,1796,1890,1154,7.2,3469,9.3,1670,1799,1164,7.2,3379,9.0,1633,1746,1496,4233,2094,2139,1314,4.0,3555,3.4,1751,1803
"시흥시",1897,,6077,,3023,3054,1910,6.5,6644,20.6,3450,3194,1876,6.6,6366,9.9,3255,3111,1790,7.9,5974,9.2,3033,2942,1787,7.8,5787,9.0,2918,2870,1873,-,5535,-,2743,2792,1691,5.0,4940,6.3,2467,2474,1703,5.1,4868,6.6,2470,2398,1646,4.7,4643,6.1,2349,2294,1652,5.1,4524,6.4,2298,2226,1798,4679,2361,2318,1717,6.1,4601,5.7,2303,2298
"군포시",426,,1373,,692,681,445,9.2,1521,39.1,677,843,427,12.9,1453,12.6,634,818,388,15.1,1276,14.1,582,695,363,18.5,1139,23.0,522,617,493,-,1477,-,755,722,437,6.6,1185,7.2,602,583,411,7.1,1077,7.0,571,507,363,9.5,873,8.3,462,411,345,9.4,828,8.4,421,407,915,2536,1294,1242,733,6.6,2081,7.1,1079,1002
